@relation credit6000_126
@attribute b0 real
@attribute b1 real
@attribute b2 real
@attribute b3 real
@attribute b4 real
@attribute b5 real
@attribute b6 real
@attribute b7 real
@attribute b8 real
@attribute b9 real
@attribute b10 real
@attribute b11 real
@attribute b12 real
@attribute b13 real
@attribute b14 real
@attribute b15 real
@attribute b16 real
@attribute b17 real
@attribute b18 real
@attribute b19 real
@attribute b20 real
@attribute b21 real
@attribute b22 real
@attribute b23 real
@attribute b24 real
@attribute b25 real
@attribute b26 real
@attribute b27 real
@attribute b28 real
@attribute b29 real
@attribute b30 real
@attribute b31 real
@attribute b32 real
@attribute b33 real
@attribute b34 real
@attribute b35 real
@attribute b36 real
@attribute b37 real
@attribute b38 real
@attribute b39 real
@attribute b40 real
@attribute b41 real
@attribute b42 real
@attribute b43 real
@attribute b44 real
@attribute b45 real
@attribute b46 real
@attribute b47 real
@attribute b48 real
@attribute b49 real
@attribute b50 real
@attribute b51 real
@attribute b52 real
@attribute b53 real
@attribute b54 real
@attribute b55 real
@attribute b56 real
@attribute b57 real
@attribute b58 real
@attribute b59 real
@attribute b60 real
@attribute b61 real
@attribute b62 real
@attribute b63 real
@attribute b64 real
@attribute c {2,1}
@data
4.6052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,7.2998,0.0,7.2998,4.6018,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.5132,0.0,8.5132,4.6112,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,8.6089,0.0,8.6089,4.6115,0.0,0.0,0.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9082,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,49.0,0.0,0.0,8.0,9.184,0.0,9.184,4.609,0.0,0.0,2.0,1.0,0.0,0.0,10.05,2
4.6052,0.0,0.0,1.0,4.9746,4.421,0.0,0.95544,6.0437,0.0,0.0,123.02,6.2146,0.0,4.6052,6.6035,1.0,1.0,97.103,0.0,0.0,0.0,53.397,26.564,0.0,4.6052,0.0,0.0,0.9591,3.2494,-17.585,0.0,41.629,0.0,4.5808,3.9778,3.2796,45.835,952.48,1.0965,1.0,-0.3865,0.0,1.0,20.0,3.0,0.088,0.0,4.0,0.0,0.0,2.3026,1.0,0.5,2.9957,1.0,6.2094,0.5,2.3026,0.0,0.0,0.0,2.1422,2.2715,1.3856,1
4.6052,0.0,0.0,1.0,6.5454,5.8861,0.0,0.0,6.9078,0.0,0.0,200.0,7.6509,0.0,4.6052,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9738,3.2826,-20.0,0.0,50.0,0.0,4.5949,3.9103,3.2281,43.398,1000.0,1.0682,1.0,-4.0219,0.0,1.0,20.0,3.0,0.0,0.0,4.0,1.0,1.0,5.7038,0.0,2.0,2.9957,1.0,7.6009,0.5,3.4012,0.0,0.0,0.0,2.3026,6.5182,2.582,2
4.6052,0.0,0.0,1.8052,3.4761,3.2771,0.0,0.0,4.5747,0.0,0.0,11.667,0.0,0.0,0.0,6.2676,1.0,0.0,144.42,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.067,30.73,46.429,-19.27,0.0,50.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,5.3561,1.4127,0.0,4.0,0.0,0.0,0.0,0.0,1.5,2.9957,1.0,7.3132,0.5,3.6889,2.3026,2.0,0.0,2.3026,5.5196,2.2361,1
4.6052,0.0,0.0,1.9885,4.0012,3.7842,3.7136,0.0,3.7136,0.0,0.0,21.333,0.0,0.0,0.0,6.584,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.126,23.148,31.911,-20.0,0.0,50.0,0.0,0.0,0.0,1.8521,-11.009,1000.0,1.4876,1.0,-5.8426,0.0,0.0,11.685,5.7177,1.521,0.0,4.0,0.0,0.0,0.0,0.0,2.0,4.2704,0.0,7.6009,1.5212,0.0,0.0,2.0,0.0,2.291,6.2104,2.6704,1
4.6052,0.0,0.0,4.6305,6.2133,5.6298,3.1082,0.0,6.9078,0.0,0.0,200.0,7.0901,0.0,4.6052,6.0,1.0,1.0,97.469,0.0,0.0,0.0,44.01,16.685,0.71788,4.6052,0.0,0.0067,0.9709,3.4888,-20.0,0.0,50.0,0.0,4.5896,3.7844,2.8145,44.01,969.29,0.0,1.0,0.0,0.8011,1.0,20.0,4.4841,0.59067,0.0,4.0,0.0,0.0,2.3026,1.0,1.5,5.6388,0.0,7.2982,2.9828,3.912,0.0,1.0,0.0,2.294,4.9373,2.4313,1
4.6052,0.0,0.0,5.5678,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,6.9229,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.6052,0.0,0.0,0.0,1000.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,49.0,0.0,0.0,6.5,8.7796,0.0,8.7726,4.6151,0.0,0.0,1.0,1.0,0.0,0.0,10.05,2
